Date,Open,High,Low,Close,Volume
06/30/2015,19.9,20.06,19.57,19.73,"15,155,650"
06/29/2015,20.22,20.24,19.66,19.7,"13,547,230"
06/26/2015,20.51,20.6,20.33,20.33,"14,402,300"
06/25/2015,20.9,20.92,20.52,20.55,"8,793,983"
06/24/2015,20.87,20.98,20.56,20.77,"13,670,190"
06/23/2015,21.03,21.06,20.88,20.97,"6,724,920"
06/22/2015,21.11,21.14,20.91,21.06,"7,942,210"
06/19/2015,21.17,21.19,20.94,20.94,"9,573,017"
06/18/2015,20.99,21.29,20.97,21.22,"7,743,691"
06/17/2015,20.98,21.12,20.75,20.91,"6,967,735"
06/16/2015,20.6,20.99,20.5,20.9,"14,505,920"
06/15/2015,20.66,20.66,20.26,20.38,"11,146,340"
06/12/2015,20.68,20.84,20.55,20.75,"7,674,298"
06/11/2015,21,21.09,20.77,20.8,"8,644,515"
06/10/2015,20.64,21.02,20.64,21.02,"12,288,600"
06/09/2015,20.77,20.77,20.31,20.63,"10,989,900"
06/08/2015,21.2,21.2,20.7,20.76,"14,186,300"
06/05/2015,20.59,20.77,20.43,20.71,"8,754,940"
06/04/2015,20.75,20.76,20.43,20.65,"12,959,310"
06/03/2015,20.95,20.99,20.79,20.8,"8,205,253"
06/02/2015,20.86,21,20.82,20.85,"8,397,599"
06/01/2015,20.98,21.1,20.81,20.88,"8,118,669"
05/29/2015,21.04,21.12,20.81,20.92,"9,786,358"
05/28/2015,21.16,21.16,20.83,21.05,"8,575,769"
05/27/2015,21.19,21.21,20.89,21.13,"9,760,685"
05/26/2015,21.38,21.4,21,21.21,"9,092,452"
05/22/2015,21.79,21.82,21.5,21.5,"7,743,939"
05/21/2015,21.68,22.05,21.64,21.82,"9,715,350"
05/20/2015,21.43,21.76,21.37,21.59,"8,403,616"
05/19/2015,21.45,21.62,21.2,21.49,"9,458,858"
05/18/2015,21.25,21.46,21.25,21.35,"7,848,387"
05/15/2015,21.4,21.46,21.24,21.29,"5,953,849"
05/14/2015,21.25,21.39,21.12,21.37,"5,990,959"
05/13/2015,20.98,21.25,20.81,21.08,"10,999,180"
05/12/2015,21.14,21.26,20.98,20.99,"5,946,858"
05/11/2015,21.09,21.5,21.08,21.31,"8,352,893"
05/08/2015,21.18,21.4,21.07,21.15,"8,717,829"
05/07/2015,21.04,21.19,20.9,21.04,"11,614,410"
05/06/2015,20.87,21.09,20.59,21.06,"13,314,290"
05/05/2015,21.35,21.43,20.7,20.8,"11,100,450"
05/04/2015,21.45,21.62,21.41,21.44,"6,281,683"
05/01/2015,21.02,21.45,21.02,21.44,"10,765,840"
04/30/2015,21.28,21.44,20.7,20.93,"14,806,760"
04/29/2015,21.77,21.78,20.87,21.36,"22,635,141"
04/28/2015,22.3,22.36,21.76,22.07,"16,599,689"
04/27/2015,22.56,22.8,22.3,22.38,"12,915,820"
04/24/2015,22.85,22.87,22.44,22.52,"7,346,387"
04/23/2015,22.36,22.98,22.36,22.79,"10,749,160"
04/22/2015,22.5,22.59,22.05,22.44,"7,870,496"
04/21/2015,22.86,22.9,22.4,22.61,"8,106,518"
04/20/2015,22.58,22.92,22.53,22.68,"8,010,917"
04/17/2015,22.43,22.46,22.1,22.46,"9,955,924"
04/16/2015,22.27,22.75,22.25,22.64,"9,309,703"
04/15/2015,22.42,22.58,22.32,22.33,"7,181,423"
04/14/2015,22.39,22.49,22.08,22.34,"7,289,701"
04/13/2015,22.47,22.72,22.33,22.36,"6,653,675"
04/10/2015,22.28,22.43,22.19,22.42,"6,751,000"
04/09/2015,22.04,22.28,22.01,22.24,"8,297,198"
04/08/2015,22.04,22.18,21.76,22.06,"11,006,740"
04/07/2015,22.37,22.38,21.97,22,"8,084,110"
04/06/2015,22.22,22.47,22.1,22.37,"8,828,930"
04/02/2015,22.21,22.44,22.07,22.32,"9,155,035"
04/01/2015,22.62,22.66,22.19,22.25,"9,290,231"
03/31/2015,23.13,23.13,22.61,22.68,"8,067,527"
03/30/2015,22.9,23.3,22.9,23.24,"6,636,921"
03/27/2015,22.52,22.77,22.41,22.74,"4,843,152"
03/26/2015,22.61,22.62,22.25,22.47,"12,019,870"
03/25/2015,23.45,23.57,22.69,22.71,"9,335,758"
03/24/2015,23.5,23.61,23.4,23.41,"6,116,469"
03/23/2015,23.38,23.64,23.36,23.47,"5,931,068"
03/20/2015,23.19,23.6,23.17,23.39,"12,800,940"
03/19/2015,23.62,23.7,23.07,23.13,"8,291,185"
03/18/2015,23.25,23.86,23.13,23.76,"6,871,164"
03/17/2015,23.68,23.71,23.37,23.37,"7,177,739"
03/16/2015,23.17,23.73,23.14,23.71,"7,456,117"
03/13/2015,22.96,23.12,22.64,23,"7,769,035"
03/12/2015,22.75,23.17,22.55,23.13,"10,354,110"
03/11/2015,23.23,23.23,22.66,22.7,"10,837,990"
03/10/2015,23.58,23.58,23.04,23.05,"11,204,560"
03/09/2015,24.04,24.14,23.64,23.76,"9,646,243"
03/06/2015,24.53,24.62,23.98,24.03,"6,211,266"
03/05/2015,24.7,24.85,24.56,24.62,"4,808,081"
03/04/2015,24.5,24.89,24.28,24.75,"7,113,913"
03/03/2015,24.57,24.87,24.48,24.6,"7,297,586"
03/02/2015,24.32,24.65,24.25,24.63,"6,901,968"
02/27/2015,24.5,24.67,24.34,24.4,"7,659,958"
02/26/2015,24.6,24.79,24.41,24.47,"6,489,728"
02/25/2015,24.58,24.72,24.43,24.6,"5,410,474"
02/24/2015,24.74,24.82,24.57,24.78,"5,006,321"
02/23/2015,24.94,24.96,24.72,24.78,"4,922,072"
02/20/2015,24.59,24.96,24.26,24.96,"6,922,457"
02/19/2015,24.6,24.75,24.5,24.65,"7,059,068"
02/18/2015,24.64,24.69,24.37,24.63,"6,260,188"
02/17/2015,24.96,25,24.53,24.6,"6,591,412"
02/13/2015,24.86,25.03,24.76,25,"6,191,300"
02/12/2015,24.63,25.05,24.61,24.86,"7,373,194"
02/11/2015,24.84,24.87,24.43,24.55,"5,990,254"
02/10/2015,24.41,24.9,24.2,24.85,"8,830,549"
02/09/2015,24.22,24.51,24.17,24.24,"7,757,255"
02/06/2015,24.5,24.65,24.17,24.21,"10,167,110"
02/05/2015,24.22,24.65,24.17,24.48,"8,666,047"
02/04/2015,24.31,24.52,24.15,24.27,"9,187,695"
02/03/2015,24.17,24.4,23.95,24.35,"9,609,463"
02/02/2015,23.87,24.19,23.23,24.15,"9,573,655"
01/30/2015,23.65,24.15,23.61,23.77,"11,472,410"
01/29/2015,24.36,24.36,23.27,23.79,"14,157,390"
01/28/2015,24.87,25.16,24.17,24.22,"14,824,550"
01/27/2015,23.71,24.98,23.7,24.73,"16,548,020"
01/26/2015,23.75,24.12,23.54,23.91,"8,039,633"
01/23/2015,23.69,23.93,23.63,23.85,"6,603,106"
01/22/2015,23.44,23.75,23.27,23.72,"6,610,299"
01/21/2015,23.07,23.33,22.83,23.29,"8,283,028"
01/20/2015,23.35,23.36,22.92,23.15,"8,305,289"
01/16/2015,22.95,23.29,22.79,23.17,"9,960,814"
01/15/2015,23.8,23.8,23.01,23.02,"9,173,223"
01/14/2015,22.91,23.27,22.74,23.25,"6,828,959"
01/13/2015,23.41,23.89,22.95,23.15,"9,155,936"
01/12/2015,23.38,23.45,23.08,23.28,"5,866,955"
01/09/2015,23.38,23.47,23.22,23.31,"6,461,732"
01/08/2015,22.93,23.49,22.9,23.35,"9,533,590"
01/07/2015,22.48,22.77,22.35,22.62,"5,839,899"
01/06/2015,21.89,22.77,21.89,22.3,"7,835,628"
01/05/2015,22.84,22.95,22.57,22.69,"7,039,677"
01/02/2015,23.03,23.11,22.75,23.01,"5,009,277"
